subsystem|bucket|file|line|size_expr|hint|code
bgp/plugins|C|internal/component/bgp/plugins/nlri/mup/types.go|180|4+len(totalData|variable (4+len(totalData)|m.cached = make([]byte, 4+len(totalData))
bgp/plugins|C|internal/component/bgp/plugins/nlri/mup/types.go|243|len(m.data|variable (len(m.data)|result := make([]byte, len(m.data))
bgp/plugins|C|internal/component/bgp/plugins/nlri/mvpn/types.go|172|2+len(totalData|variable (2+len(totalData)|m.cached = make([]byte, 2+len(totalData))
bgp/plugins|C|internal/component/bgp/plugins/nlri/mvpn/types.go|236|len(m.data|variable (len(m.data)|result := make([]byte, len(m.data))
bgp/plugins|C|internal/component/bgp/plugins/nlri/vpn/types.go|250|1+len(labelBytes|variable (1+len(labelBytes)|buf := make([]byte, 1+len(labelBytes)+8+prefixBytes)
bgp/plugins|C|internal/component/bgp/plugins/rib/rib_commands.go|983|len(nlriBytes|variable (len(nlriBytes)|nlriCopy := make([]byte, len(nlriBytes))
bgp/plugins|C|internal/component/bgp/plugins/rib/rib_commands.go|1035|len(oldData|variable (len(oldData)|newData = make([]byte, len(oldData)+4)
bgp/plugins|C|internal/component/bgp/plugins/rib/rib_nlri.go|100|4+1+prefixBytes|variable (4+1+prefixBytes)|wire = make([]byte, 4+1+prefixBytes)
bgp/plugins|C|internal/component/bgp/plugins/rib/rib_nlri.go|108|1+prefixBytes|variable (1+prefixBytes)|wire = make([]byte, 1+prefixBytes)
bgp/plugins|C|internal/component/bgp/plugins/rib/storage/nlrikey.go|57|1+byteLen|variable (1+byteLen)|result := make([]byte, 1+byteLen)
bgp/plugins|C|internal/component/bgp/plugins/role/otc.go|86|len(attrs|variable (len(attrs)|result := make([]byte, len(attrs)+otcWireLen)
bgp/plugins|C|internal/component/bgp/plugins/role/otc.go|253|len(payload|variable (len(payload)|result := make([]byte, len(payload)+otcWireLen)
bgp/plugins|C|internal/component/bgp/plugins/rpki/rtr_session.go|112|pduSerialQueryLen|variable (pduSerialQueryLen)|buf := make([]byte, pduSerialQueryLen)
bgp/plugins|C|internal/component/bgp/plugins/rpki/rtr_session.go|131|pduHeaderLen|variable (pduHeaderLen)|headerBuf := make([]byte, pduHeaderLen)
bgp/plugins|C|internal/component/bgp/plugins/rpki/rtr_session.go|156|int(hdr.Length|variable (int(hdr.Length)|pduBuf = make([]byte, int(hdr.Length))
bgp/plugins|C|internal/component/bgp/plugins/softver/softver.go|54|1+len(version|variable (1+len(version)|data := make([]byte, 1+len(version))
bgp/plugins|A|internal/component/bgp/plugins/bmp/msg.go|411|29|literal 29|buf := make([]byte, 29)
bgp/plugins|A|internal/component/bgp/plugins/bmp/sender.go|171|1|literal 1|discard := make([]byte, 1)
bgp/plugins|A|internal/component/bgp/plugins/bmp/sender.go|294|8|literal 8|v := make([]byte, 8)
bgp/plugins|A|internal/component/bgp/plugins/filter_community/config.go|208|4|literal 4|buf := make([]byte, 4)
bgp/plugins|A|internal/component/bgp/plugins/filter_community/config.go|219|12|literal 12|buf := make([]byte, 12)
bgp/plugins|A|internal/component/bgp/plugins/filter_community/config.go|262|8|literal 8|buf := make([]byte, 8)
bgp/plugins|A|internal/component/bgp/plugins/nlri/ls/plugin.go|612|16|literal 16|addr := make([]byte, 16)
bgp/plugins|A|internal/component/bgp/plugins/nlri/ls/plugin.go|617|4|literal 4|addr := make([]byte, 4)
bgp/plugins|A|internal/component/bgp/plugins/nlri/ls/types.go|486|4|literal 4|b := make([]byte, 4)
bgp/plugins|A|internal/component/bgp/plugins/nlri/ls/types_descriptor.go|158|8|literal 8|val := make([]byte, 8)
bgp/plugins|A|internal/component/bgp/plugins/nlri/mvpn/types.go|231|10|literal 10|rdBytes := make([]byte, 10)
bgp/plugins|A|internal/component/bgp/plugins/nlri/rtc/types.go|46|8|literal 8|buf := make([]byte, 8)
bgp/plugins|A|internal/component/bgp/plugins/nlri/rtc/types.go|163|13|literal 13|r.cached = make([]byte, 13)
bgp/plugins|A|internal/component/bgp/plugins/nlri/vpls/types.go|145|19|literal 19|v.cached = make([]byte, 19)
bgp/plugins|A|internal/component/bgp/plugins/rib/rib_commands.go|1039|4|literal 4|newData = make([]byte, 4)
bgp/plugins|A|internal/component/bgp/plugins/rib/rib_nlri.go|273|4|literal 4|ip := make([]byte, 4)
bgp/plugins|A|internal/component/bgp/plugins/rib/rib_nlri.go|279|16|literal 16|ip := make([]byte, 16)
bgp/plugins|A|internal/component/bgp/plugins/rs/worker.go|202|4096|literal 4096|buf := make([]byte, 4096)
